Point_ID,Longitude ,Latitude,Altitude ,Easting,Northing,Comment,PDOP,HDOP
780,-93.66349232,42.03556786,274.801,445081.626,4653938.218,black walnut 2,522.2,485.1
781,-93.66347304,42.03557762,274.593,445083.23,4653939.29,sw oak,4,2.2
782,-93.66344214,42.03557987,275.026,445085.789,4653939.52,hackberry 7,7.7,4.2
783,-93.66343222,42.03557525,274.194,445086.606,4653939,honeysuckle 2,3.5,2.7
784,-93.66344057,42.03561682,274.141,445085.951,4653943.621,boxelder,3.5,1.7
785,-93.66342664,42.03560482,275.006,445087.094,4653942.28,honeysuckle 3,5.1,3.3
786,-93.66339208,42.03558511,274.592,445089.937,4653940.069,buckthorn 11,4.9,2.2
787,-93.66339637,42.03557188,274.721,445089.571,4653938.603,honeysuckle 4 - grape,4.9,2.2
788,-93.66343116,42.0355318,273.115,445086.657,4653934.175,mulberry 6,141.3,99.9
789,-93.66339477,42.03551286,275.074,445089.652,4653932.049,serviceberry maybe,4.4,2.1
790,-93.66339723,42.03548477,275.534,445089.425,4653928.932,si.elm 3,3.3,1.6
791,-93.66338389,42.03554078,275.543,445090.577,4653935.142,buckthorn 12,26.9,12
792,-93.66333935,42.03553488,275.452,445094.259,4653934.458,honeysuckle 5,11.5,5.8
793,-93.66333395,42.03556222,275.845,445094.729,4653937.491,tree with light bark and prombud,12,5.9
794,-93.66331728,42.0354962,274.755,445096.052,4653930.149,si.elm 4,36.9,36
795,-93.66333106,42.03550343,273.687,445094.918,4653930.96,si.elm 5,141.3,99.9
796,-93.66325909,42.03546414,275.399,445100.841,4653926.552,si.elm 6,18,9.6
797,-93.66325672,42.03550331,274.459,445101.071,4653930.9,mulberry 7,24.6,14.8
798,-93.66316863,42.03547908,274.535,445108.342,4653928.154,hackberry 8,23.7,13.1
799,-93.6631915,42.0354953,275.043,445106.462,4653929.969,green ash 2 - grape,26.3,14.7
800,-93.6631593,42.03549728,275.616,445109.13,4653930.168,grape,43.1,26.4
801,-93.66323266,42.0355724,274.558,445103.122,4653938.556,black cherry 5,60,37
802,-93.66311356,42.03545566,275.281,445112.88,4653925.517,boxelder 2,3.6,2.2
803,-93.6630938,42.03544244,275.153,445114.504,4653924.037,mulberry 8 - grape,35.9,19.6
804,-93.6630541,42.03546981,275.605,445117.813,4653927.051,green ash 3,27,14.8
805,-93.66306192,42.03543095,274.667,445117.132,4653922.74,boxelder 3,402.4,252
806,-93.66302539,42.03543298,273.292,445120.158,4653922.943,buckthorn 13,3,1.9
807,-93.66299673,42.03545059,275.548,445122.546,4653924.88,mulberry 9,141.3,99.9
808,-93.66296575,42.03546461,274.639,445125.122,4653926.416,other vine species,2.4,1.4
809,-93.66556051,42.03477363,272.04,444909.751,4653851.364,oak,6.1,4.7
810,-93.66561825,42.03472366,271.402,444904.929,4653845.853,oak 2,3.6,2.8
811,-93.66388602,42.03439064,272.994,445048.024,4653807.763,sil. maple,3.5,2.9
812,-93.66412699,42.03440074,274.737,445028.087,4653809.04,sycamore,16.4,10.6
813,-93.66043707,42.03438295,270.574,445333.499,4653804.701,redbud,4.1,3.1
814,-93.66273149,42.03614315,272.503,445145.096,4654001.605,pear x6,8.4,3.9
