"","ID","Date","Block","Treatment","Genus","Species","Common.Name","Height..m.","Notes"
"58","58","",2,4,"Acer","saccharinum","silver maple","0.51",""
"59","59","",2,4,"Vitus","riparia","grape vine","-","on strip"
"60","60","",2,4,"Acer","saccharinum","silver maple","0.59",""
"61","61","",2,4,"Acer","saccharinum","silver maple","0.78",""
"62","62","",2,4,"Acer","saccharinum","silver maple","0.69",""
"63","63","",2,7,"Fraxinus","pennsylvanica","green ash","0.71","buds brown, box=white"
"64","64","",2,7,"Vitus","riparia","grape vine","-",""
"65","65","",2,4,"Acer","saccharinum","silver maple","0.57","on strip"
"66","66","",2,4,"Acer","saccharinum","silver maple","0.74","no leaves"
"67","67","",2,2,"Platanus","occidentalis","sycamore","1.34",""
"68","68","",2,4,"Acer","negundo","boxelder","0.62",""
"69","69","",2,4,"Acer","negundo","boxelder","0.69",""
"70","70","",2,7,"Acer","saccharinum","silver maple","0.68",""
"71","71","",2,2,"","","?","0.81","no leaves - can't tell, herb"
"72","72","",2,2,"Acer","negundo","boxelder","0.75",""
"73","73","",2,2,"","","?","0.6","herb - no leaves - can't tell, ash?"
"74","74","",2,7,"Prunus","serotina","black cherry","1.59",""
"75","75","",2,7,"Acer","saccharinum","silver maple","1.02","next to deer trail"
"76","76","",2,7,"Prunus","serotina","black cherry","1.71","next to deer trail"
"77","77","",2,7,"Prunus","serotina","black cherry","1.01","next to deer trail"
"78","78","",2,7,"Fraxinus","pennsylvanica","green ash","0.57","next to deer trail, almost on strip end"
"79","79","",2,7,"Prunus","serotina","black cherry","0.98","herb damage, next to deer trail, almost on strip end"
"80","80","",2,5,"Vitus","riparia","grape vine","-",""
"81","81","",2,4,"Prunus","serotina","black cherry","0.92",""
"82","82","",2,4,"Prunus","serotina","black cherry","0.99",""
"83","83","",2,4,"Prunus","serotina","black cherry","1.08",""
"84","84","",2,2,"Vitus","riparia","grape vine","-","very small"
"85","85","",2,4,"Vitus","riparia","grape vine","","silver maple to small"
"86","86","",2,2,"Prunus","serotina","black cherry","0.98",""
"87","87","",2,2,"Acer","saccharinum","silver maple","1.82",""
"88","88","",2,4,"Prunus","serotina","black cherry","1.16",""
"89","89","",2,4,"Acer","saccharinum","silver maple","0.76","lots of herb. Deer"
"90","90","",2,4,"Prunus","serotina","black cherry","0.86","edge"
"91","91","",2,4,"Prunus","serotina","black cherry","0.71","edge"
"92","92","",2,4,"Prunus","serotina","black cherry","0.5","edge"
"93","93","",2,2,"Acer","negundo","boxelder","0.53",""
"94","94","",2,7,"Acer","saccharinum","silver maple","0.66",""
"95","95","",2,7,"Acer","saccharinum","silver maple","0.5",""
"96","96","",2,7,"Acer","saccharinum","silver maple","0.5",""
"97","97","",2,4,"Acer","saccharinum","silver maple","0.77",""
"98","98","",2,4,"Acer","saccharinum","silver maple","0.53",""
"99","99","",1,4,"Acer","saccharinum","silver maple","1.02",""
"100","100","",1,4,"Acer","negundo","boxelder","0.97","near strip/not within 15cm"
"101","101","",1,2,"Acer","negundo","boxelder","0.98","right next to burrown, next to cover plot"
"102","102","",1,2,"Acer","negundo","boxelder","0.81","next to cover plot"
"103","103","",1,2,"Vitus","riparia","grape vine","-",""
"104","104","",1,2,"Acer","negundo","boxelder","0.87","cover plot"
"105","105","",1,2,"Acer","saccharinum","silver maple","0.5",""
"106","106","",1,2,"","","?","0.73","one elaf - rough, not lobed, buds lobed, small brown"
"107","107","",1,2,"Fraxinus","pennsylvanica","green ash","0.59",""
"108","108","",1,2,"Vitus","riparia","grape vine","-","pretty dead"
"109","109","",1,2,"Acer","negundo","boxelder","0.58",""
"110","110","",1,4,"","","siberian elm?","0.52","leaves not glaborous"
"111","111","",1,7,"Acer","saccharinum","silver maple","0.56",""
"112","112","",1,2,"Vitus","riparia","grape vine","-","dead"
"113","113","",1,2,"Acer","negundo","boxelder","0.7",""
"114","114","",1,4,"Acer","negundo","boxelder","1.13","on strip "
"115","115","",1,4,"Fraxinus","pennsylvanica","green ash","0.74",""
"116","116","",1,4,"Acer","negundo","boxelder","0.54",""
"117","117","",1,4,"Acer","negundo","boxelder","0.6",""
"118","118","",1,4,"Vitus","riparia","grape vine","-","dead"
"119","119","",1,4,"Acer","negundo","boxelder","0.56",""
"120","120","",1,4,"Vitus","riparia","grape vine","-",""
"121","121","",1,4,"Acer","negundo","boxelder","0.55",""
"122","122","",1,4,"Acer","negundo","boxelder","0.59",""
"123","123","",1,4,"Acer","negundo","boxelder","0.64","little leaves, stems too red?"
"124","124","",1,4,"Acer","negundo","boxelder","0.56",""
"125","125","",5,4,"","","","0.54",""
"126","126","",5,4,"Platanus","occidentalis","sycamore","0.67","on a strip"
"127","127","",5,4,"","","black cherry family","0.78",""
"128","128","",5,4,"Acer","saccharinum","silver maple","0.77",""
"129","129","",5,4,"Ulmus","pumila","siberian elm","","not high enough"
"130","130","",5,4,"Acer","saccharinum","silver maple","0.56",""
"131","131","",5,4,"Acer","saccharinum","silver maple","0.62",""
"132","132","",5,4,"Cornus","drummondii","roughleaf dogwood","1.26",""
"133","133","",5,4,"Acer","saccharinum","silver maple","0.52",""
"134","134","",5,4,"Ulmus","pumila","siberian elm","1.06","? Simple and compound"
"135","135","",5,4,"","","serviceberry?","0.69",""
"136","136","",5,4,"Acer","saccharinum","silver maple","0.59",""
"137","137","",5,4,"Acer","saccharinum","silver maple","0.8",""
"138","138","",5,4,"Prunus","serotina","black cherry","0.68",""
"139","139","",5,4,"Acer","saccharinum","silver maple","0.66",""
"140","140","",5,4,"Acer","saccharinum","silver maple","0.71",""
"141","141","",5,4,"Cornus","drummondii","roughleaf dogwood","0.85",""
"142","142","",5,4,"Ulmus","pumila","siberian elm","0.99","-"
"143","143","",5,4,"","","roughleaf roughleaf dogwoodwood ","0.5",""
"144","144","",5,4,"Cornus","drummondii","roughleaf dogwood","0.66",""
"145","145","",5,4,"","","black cherry family","0.59",""
"146","146","",5,4,"Cornus","drummondii","roughleaf dogwood","1.8",""
"147","147","",5,4,"Acer","saccharinum","silver maple","0.66",""
"148","148","",5,4,"Cornus","drummondii","roughleaf dogwood","0.58",""
"149","149","",5,4,"Acer","saccharinum","silver maple","1.8",""
"150","150","",5,4,"","","","","too short "
"151","151","",5,4,"Acer","saccharinum","silver maple","1.2",""
"152","152","",5,4,"Acer","negundo","boxelder","0.94","red waxy stems"
"153","153","",5,7,"Fraxinus","pennsylvanica","green ash","1.18",""
"154","154","",5,7,"Acer","negundo","boxelder ","1.17",""
"155","155","",5,1,"","","","",""
"156","156","",5,7,"Acer","saccharinum","silver maple","0.85",""
"157","157","",5,7,"Acer","saccharinum","silver maple","0.92","deep lboes"
"158","158","",5,7,"","","","69","simple, opposite"
"159","159","",5,4,"Acer","saccharinum","silver maple","0.824",""
"160","160","",5,4,"Acer","saccharinum","silver maple","0.685",""
"161","161","",5,4,"Acer","saccharinum","silver maple","0.78",""
"162","162","",5,4,"Acer","saccharinum","silver maple","1.08",""
"163","163","",5,2,"Prunus","serotina","black cherry","1.39",""
"164","164","",5,2,"Prunus","serotina","black cherry","1.25",""
"165","165","",5,1,"","","","","not a tree"
"166","166","",5,2,"Prunus","serotina","black cherry","0.68",""
"167","167","",5,2,"Acer","saccharinum","silver maple","1.33",""
"168","168","",5,2,"Prunus","serotina","black cherry","1.03",""
"169","169","",5,7,"Acer","saccharinum","silver maple","1.05",""
"170","170","",5,7,"Acer","saccharinum","silver maple","0.87",""
"171","171","",5,4,"Platanus","occidentalis","sycamore","1.46",""
"172","172","",5,4,"Ulmus","americana","american elm","1.54","find edge vs. slip."
"173","173","",5,4,"Acer","saccharinum","silver maple","0.5",""
"174","174","",5,4,"Acer","saccharinum","silver maple","0.6",""
"175","175","",5,4,"Ulmus","pumila","siberian elm","1.01",""
"176","176","",5,4,"Acer","saccharinum","silver maple","1.04",""
"177","177","",5,2,"Acer","saccharinum","silver maple","1.11",""
"178","178","",5,2,"","","serviceberry?","1.25","??"
"179","179","",5,2,"","","black cherry fam.","1.39","145"
"180","180","",5,2,"Acer","saccharinum","silver maple","1.21",""
"181","181","",5,7,"Vitus","riparia","grape vine","-",""
"182","182","",5,7,"Cornus","drummondii","roughleaf dogwood","1.11",""
"183","183","",5,7,"Acer","saccharinum","silver maple","1.42",""
"184","184","",5,4,"Prunus","serotina","black cherry","1.37",""
"185","185","",5,4,"Acer","saccharinum","silver maple","0.81",""
"186","186","",5,2,"Acer","saccharinum","silver maple","0.71",""
"187","187","",5,2,"Acer","saccharinum","silver maple","0.69",""
"188","188","",5,7,"Acer","saccharinum","silver maple","1.02",""
"189","189","",5,7,"Acer","saccharinum","silver maple","1.04",""
"190","190","",5,4,"Acer","saccharinum","silver maple","0.88",""
"191","191","",5,4,"Fraxinus","pennsylvanica","green ash","1.23",""
"192","192","",5,4,"Acer","saccharinum","silver maple","0.66",""
"193","193","",5,4,"Cornus","drummondii","roughleaf dogwood","1.22","m/p"
"194","194","",5,4,"Acer","saccharinum","silver maple","0.57",""
"195","195","",5,4,"Acer","saccharinum","silver maple","1.06",""
"196","196","",5,4,"Acer","saccharinum","silver maple","0.55",""
"197","197","",5,4,"Cornus","drummondii","roughleaf dogwood","0.68",""
"198","198","",5,4,"Cornus","drummondii","roughleaf dogwood","1.33",""
"199","199","",5,4,"Acer","saccharinum","silver maple","1.07",""
"200","200","",5,4,"Pyrus","calleryana","callery pear","0.6",""
"201","201","",5,7,"Acer","saccharinum","silver maple","0.8",""
"202","202","",5,7,"Fraxinus","pennsylvanica","green ash","0.6",""
"203","203","",5,7,"Acer","saccharinum","silver maple","0.76",""
"204","204","",5,7,"Acer","saccharinum","silver maple","0.77",""
"205","205","",5,7,"Acer","saccharinum","silver maple","0.77",""
"206","206","",5,4,"","","red  mulberry","0.73","deep lobes "
"207","207","",5,4,"Acer","saccharinum","silver maple","0.82",""
"208","208","",5,4,"Acer","saccharinum","silver maple","0.78",""
"209","209","",5,4,"Pyrus","calleryana","callery pear","0.67",""
"210","210","",5,4,"Acer","saccharinum","silver maple","0.74",""
"211","211","",5,4,"Vitus","riparia","grape vine","-","no leaves - dead leaves"
"212","212","",5,4,"Vitus","riparia","grape vine","-","no leaves"
"213","213","",5,7,"Acer","saccharinum","silver maple","0.62",""
"214","214","",5,4,"Acer","saccharinum","silver maple","1.23",""
"215","215","",5,4,"Vitus","riparia","grape vine","-","no leaves "
"216","216","",5,4,"Acer","saccharinum","silver maple","1.06",""
"217","217","",5,4,"Pyrus","calleryana","callery pear","1.08",""
"218","218","",5,4,"Fraxinus","pennsylvanica","green ash","0.93",""
"219","219","",5,4,"Vitus","riparia","grape vine","-",""
"220","220","",5,4,"Vitus","riparia","grape vine","-",""
"221","221","",5,4,"Cornus","drummondii","roughleaf dogwood","1.58",""
"222","222","",5,4,"Morus","","white mulberry","21.81","no leaves/dead"
"223","223","",5,4,"Morus","","white mulberry","0.76","no leaves/dead"
"224","224","",5,4,"Morus","","white mulberry","1.34","no leaves/dead, on strip"
"225","225","",5,4,"Platanus","occidentalis","sycamore","2.62","on strip"
"226","226","",5,4,"Acer","saccharinum","silver maple","2.03",""
"227","227","",5,4,"Pyrus","calleryana","callery pear","1.29",""
"228","228","",5,4,"Acer","saccharinum","silver maple","0.75",""
"229","229","",5,4,"Pyrus","calleryana","callery pear","0.99",""
"230","230","",5,4,"Acer","saccharinum","silver maple","1.8",""
"231","231","",5,4,"Acer","saccharinum","silver maple","0.72",""
"232","232","",5,4,"Cornus","drummondii","roughleaf dogwood","1.5","droopier leaves, fuzzy stem, op. stringy "
"233","233","",5,4,"Pyrus","calleryana","callery pear","0.96","leaves up a little, red midvein, stringy"
"234","234","",5,4,"Acer","saccharinum","silver maple","0.8",""
"235","235","",5,4,"","","","0.7",""
"236","236","",5,4,"Acer","saccharinum","silver maple ","0.8",""
"237","237","",5,4,"Acer","saccharinum","silver maple ","1.43",""
"238","238","",5,4,"Acer","saccharinum","silver maple ","0.75","stems very red"
"239","239","",5,4,"Acer","saccharinum","silver maple ","0.67",""
"240","240","",5,4,"Acer","saccharinum","silver maple ","1.34",""
"241","241","",5,4,"Acer","saccharinum","silver maple ","1.3",""
"242","242","",5,4,"Acer","saccharinum","silver maple ","1.59",""
"243","243","",5,4,"Acer","saccharinum","silver maple ","0.87",""
"244","244","",5,4,"Pyrus","calleryana","callery pear","1.01",""
"245","245","",5,4,"Acer","saccharinum","silver maple","1.01","same as 233"
"246","246","",5,4,"Acer","saccharinum","silver maple","0.55",""
"247","247","",5,4,"Acer","saccharinum","silver maple","0.88",""
"248","248","",5,4,"Acer","saccharinum","silver maple","0.83",""
"249","249","",5,4,"Acer","saccharinum","silver maple","0.52",""
"250","250","",5,4,"Acer","saccharinum","silver maple","0.78",""
"251","251","",5,4,"Acer","saccharinum","silver maple","1.03",""
"252","252","",5,4,"Acer","saccharinum","silver maple","1.82","edge"
"253","253","",5,4,"Acer","saccharinum","silver maple","0.51","on strip"
"254","254","",5,4,"Acer","saccharinum","silver maple","0.52","on strip "
"255","255","",5,4,"Acer","saccharinum","silver maple","1.19",""
"256","256","",5,4,"Acer","saccharinum","silver maple","0.52",""
"257","257","",5,4,"Acer","saccharinum","silver maple","0.66",""
"258","258","",5,4,"Acer","saccharinum","silver maple","0.93","on strip"
"259","259","",5,4,"Acer","saccharinum","silver maple","1.42","on strip"
"260","260","",5,4,"Acer","saccharinum","silver maple","1.4","on strip"
"261","261","",5,4,"Pyrus","calleryana","callery pear","0.73","same as 233"
"262","262","",5,4,"Acer","saccharinum","silver maple","0.62","edge"
"263","263","",5,4,"Acer","saccharinum","silver maple","0.8",""
"264","264","",5,4,"Acer","saccharinum","silver maple","1.11","on strip"
"265","265","",5,4,"Platanus","occidentalis","sycamore","1.4",""
"266","266","",5,4,"Acer","saccharinum","silver maple","0.86",""
"267","267","",5,4,"Cornus","drummondii","roughleaf dogwood","1.37","same as 232"
"268","268","",5,4,"Acer","negundo","boxelder","0.72",""
"269","269","",5,4,"","","","0.66","like Bc, buds small, black"
"270","270","",5,4,"Platanus","occidentalis","sycamore","1.14",""
"271","271","",5,4,"Ulmus","pumila","siberian elm","0.77",""
"272","272","",5,4,"Acer","saccharinum","silver maple","0.7",""
"273","273","",5,4,"Acer","saccharinum","silver maple","0.71","mul?"
"274","274","",5,4,"Acer","saccharinum","silver maple","1.18",""
"275","275","",5,4,"Cornus","drummondii","roughleaf dogwood","0.77","herb."
"276","276","",5,4,"Cornus","drummondii","roughleaf dogwood","0.92","herb."
"277","277","",5,4,"Cornus","drummondii","roughleaf dogwood","1.45","herb."
"278","278","",5,4,"Cornus","drummondii","roughleaf dogwood","0.83",""
"279","279","",5,4,"Cornus","drummondii","roughleaf dogwood","1.25",""
"280","280","",5,4,"Cornus","drummondii","roughleaf dogwood","0.6",""
"281","281","",5,4,"Cornus","drummondii","roughleaf dogwood","0.65",""
"282","282","",5,4,"","","mulberry?","0.68","same as 222-224, rough leaves lobed/non lobed"
"283","283","",5,4,"Prunus","serotina","black cherry","0.53","no orange hairs"
"284","284","",5,4,"Morus","","mulberry","0.92","no leaves"
"285","285","",5,4,"Morus","","mulberry","2.5",""
"286","286","",5,4,"Morus","","mulberry","0.97","near strip"
"287","287","",5,4,"Platanus","occidentalis","sycamore","1.06","strip"
"288","288","",5,4,"Acer","saccharinum","silver maple","0.56","strip"
"289","289","",5,4,"Cornus","drummondii","roughleaf dogwood","0.833",""
"290","290","",5,4,"Acer","saccharinum","silver maple","0.62",""
"291","291","",5,4,"Acer","saccharinum","silver maple","0.74",""
"292","292","",6,4,"Acer","saccharinum","silver maple","0.5",""
"293","293","",6,4,"Cornus","drummondii","roughleaf dogwood","0.5",""
"294","294","",6,4,"Acer","saccharinum","silver maple","0.62",""
"295","295","",6,4,"Acer","saccharinum","silver maple","0.51",""
"296","296","",6,4,"Pyrus","calleryana","callery pear","0.53",""
"297","297","",6,4,"","","","0.62","tree??? Rough leaves"
"298","298","",6,4,"Acer","saccharinum","silver maple","0.87",""
"299","299","",6,4,"Cornus","drummondii","roughleaf dogwood","1.54",""
"300","300","",6,4,"Pyrus","calleryana","callery pear","1.72",""
"301","301","",6,4,"Ulmus","pumila","siberian elm","0.82",""
"302","302","",6,4,"Acer","saccharinum","silver maple","0.76","on strip"
"303","303","",6,4,"Acer","saccharinum","silver maple","0.65",""
"304","304","",6,4,"Acer","saccharinum","silver maple","0.68","on strip"
"305","305","",6,4,"Acer","saccharinum","silver maple","0.74",""
"306","306","",6,4,"Acer","saccharinum","silver maple","0.98","on strip "
"307","307","",6,4,"Acer","saccharinum","silver maple","0.69",""
"308","308","",6,4,"Cornus","drummondii","roughleaf dogwood","0.9",""
"309","309","",6,4,"Acer","saccharinum","silver maple","0.56",""
"310","310","",6,4,"Acer","saccharinum","silver maple","0.67",""
"311","311","",6,4,"Acer","saccharinum","silver maple","0.62",""
"312","312","",6,4,"Platanus","occidentalis","sycamore","0.61",""
"313","313","",6,4,"Acer","saccharinum","silver maple","0.51",""
"314","314","",6,4,"Acer","saccharinum","silver maple","0.71",""
"315","315","",6,4,"Cornus","drummondii","roughleaf dogwood","0.71",""
"316","316","",6,4,"Acer","saccharinum","silver maple","1.42","on strip"
"317","317","",6,4,"Acer","saccharinum","silver maple","0.72",""
"318","318","",6,4,"Acer","saccharinum","silver maple","0.77",""
"319","319","",6,4,"Acer","saccharinum","silver maple","0.7",""
"320","320","",6,6,"Cornus","drummondii","roughleaf dogwood","1.26",""
"321","321","",6,7,"Cornus","drummondii","roughleaf dogwood","0.7",""
"322","322","",6,7,"Vitus","riparia","grape vine","-",""
"323","323","",6,4,"Acer","saccharinum","silver maple","0.98",""
"324","324","",6,2,"Acer","saccharinum","silver maple","0.76",""
"325","325","",6,2,"Acer","saccharinum","silver maple","0.58",""
"326","326","",6,4,"Acer","saccharinum","silver maple","0.65","on strip"
"327","327","",6,4,"Acer","saccharinum","silver maple","1.33",""
"328","328","",6,4,"Acer","saccharinum","silver maple","2.33","on strip"
"329","329","",6,4,"Acer","saccharinum","silver maple","0.87",""
"330","330","",6,4,"Cornus","drummondii","roughleaf dogwood","1.11",""
"331","331","",6,4,"Pyrus","calleryana","callery pear","2.23",""
"332","332","",6,4,"Pyrus","calleryana","callery pear","0.9",""
"333","333","",6,4,"","","","0.61","tree?? Same as 297"
"334","334","",6,7,"Cornus","drummondii","roughleaf dogwood","0.94",""
"335","335","",6,2,"Platanus","occidentalis","sycamore","0.52",""
"336","336","",6,7,"Fraxinus","pennsylvanica","green ash","0.98",""
"337","337","",6,2,"Acer","saccharinum","silver maple","0.52",""
"338","338","",6,2,"Cornus","drummondii","roughleaf dogwood","0.72",""
"339","339","",6,2,"Cornus","drummondii","roughleaf dogwood","0.63",""
"340","340","",6,2,"Cornus","drummondii","roughleaf dogwood","1.22",""
"341","341","",6,2,"Cornus","drummondii","roughleaf dogwood","0.75",""
"342","342","",6,2,"Cornus","drummondii","roughleaf dogwood","0.69",""
"343","343","",6,2,"Cornus","drummondii","roughleaf dogwood","0.52",""
"344","344","",6,4,"Cornus","drummondii","roughleaf dogwood","0.8",""
"345","345","",6,4,"Cornus","drummondii","roughleaf dogwood","0.52",""
"346","346","",6,4,"","","","0.7","simple, alt., lobed and not, buds small brown, stem grey-red "
"347","347","",6,4,"Cornus","drummondii","roughleaf dogwood","0.75",""
"348","348","",6,2,"Cornus","drummondii","roughleaf dogwood","1.04",""
"349","349","",6,2,"Cornus","drummondii","roughleaf dogwood","1.28",""
"350","350","",6,2,"Acer","saccharinum","silver maple","0.87",""
"351","351","",6,2,"cherry?","","","1.05",""
"352","352","",6,2,"Acer","saccharinum","silver maple","0.74",""
"353","353","",6,2,"Acer","saccharinum","silver maple","0.55",""
"354","354","",6,7,"Acer","saccharinum","silver maple","0.73",""
"355","355","",6,7,"Cornus","drummondii","roughleaf dogwood","1.13",""
"356","356","",6,7,"Acer","saccharinum","silver maple","1.35",""
"357","357","",6,4,"Acer","saccharinum","silver maple","0.64",""
"358","358","",6,4,"Cornus","drummondii","roughleaf dogwood","0.89",""
"359","359","",6,4,"Cornus","drummondii","roughleaf dogwood","1.06",""
"360","360","",6,4,"Pyrus","calleryana","callery pear","1",""
"361","361","",6,4,"Acer","saccharinum","silver maple","0.64",""
"362","362","",6,4,"Acer","saccharinum","silver maple","0.65",""
"363","363","",6,4,"Acer","saccharinum","silver maple","1.44",""
"364","364","",6,7,"Acer","saccharinum","silver maple","0.57",""
"365","365","",6,2,"Acer","saccharinum","silver maple","0.51",""
"366","366","",6,2,"Pyrus","calleryana","callery pear","0.84",""
"367","367","",6,2,"Acer","saccharinum","silver maple","0.84",""
"368","368","",6,2,"Acer","saccharinum","silver maple","0.73",""
"369","369","",6,2,"Cornus","drummondii","roughleaf dogwood","1.26",""
"370","370","",6,2,"Pyrus","calleryana","callery pear","1.07",""
"371","371","",6,2,"Platanus","occidentalis","sycamore","0.5",""
"372","372","",6,2,"Acer","saccharinum","silver maple","0.6",""
"373","373","",6,4,"Acer","saccharinum","silver maple","0.81","next to cover plot"
"374","374","",6,4,"Pyrus","calleryana","callery pear","0.97",""
"375","375","",6,4,"Fraxinus","pennsylvanica","green ash","1.18",""
"376","376","",6,1,"","","","","not tall enough "
"377","377","",6,4,"Cornus","drummondii","roughleaf dogwood","0.83",""
"378","378","",6,4,"Pyrus","calleryana","callery pear","0.65",""
"379","379","",6,4,"Cornus","drummondii","roughleaf dogwood","1.26",""
"380","380","",6,4,"Acer","saccharinum","silver maple","0.97",""
"381","381","",6,2,"Acer","saccharinum","silver maple","0.93",""
"382","382","",6,2,"Cornus","drummondii","roughleaf dogwood","1.18",""
"383","383","",6,4,"Pyrus","calleryana","callery pear","0.85",""
"384","384","",6,7,"Vitus","riparia","grape vine","-",""
"385","385","",6,7,"Acer","negundo","boxelder","1.28",""
"386","386","",6,7,"Cornus","drummondii","roughleaf dogwood","1.27",""
"387","387","",6,7,"Acer","saccharinum","silver maple","0.68",""
"388","388","",6,4,"Acer","saccharinum","silver maple","0.58",""
"389","389","",6,4,"Acer","saccharinum","silver maple","0.75",""
"390","390","",6,4,"Acer","saccharinum","silver maple","0.9",""
"391","391","",6,2,"Vitus","riparia","grape vine","-",""
"392","392","",6,7,"Vitus","riparia","grape vine","-",""
"393","393","",6,4,"Pyrus","calleryana","callery pear","1.06",""
"394","394","",6,4,"Cornus","drummondii","roughleaf dogwood","0.67",""
"395","395","",6,4,"Pyrus","calleryana","callery pear","0.92",""
"396","396","",6,4,"Acer","saccharinum","silver maple","0.55",""
"397","397","",6,4,"Acer","saccharinum","silver maple","0.53",""
"398","398","",6,4,"Acer","saccharinum","silver maple","0.59",""
"399","399","",6,4,"Acer","saccharinum","silver maple","0.72",""
"400","400","",6,4,"Acer","saccharinum","silver maple","0.57",""
"401","401","",6,4,"Cercis","canadensis","redbud","0.6","???"
"402","402","",6,4,"","","","1.2","same as 346"
"403","403","",6,4,"Vitus","riparia","grape vine","-",""
"404","404","",6,4,"Acer","saccharinum","silver maple","0.61",""
